level,variant,fold,auc,n_train,n_valid
pitcher_season,pitcher_direct,0,0.6542372881355931,320,109
pitcher_season,pitcher_direct,1,0.6017543859649123,312,117
pitcher_season,pitcher_direct,2,0.6279588336192109,321,108
pitcher_season,pitcher_direct,3,0.5731952832901926,311,118
pitcher_season,pitcher_direct,4,0.6357927786499215,328,101
pitcher_season,pitcher_direct,5,0.549939283545841,314,115
pitcher_season,pitcher_direct,6,0.5620084694494858,314,115
pitcher_season,pitcher_direct,7,0.5664406779661018,320,109
pitcher_season,pitcher_recent,0,0.6732203389830509,320,109
pitcher_season,pitcher_recent,1,0.7792397660818714,312,117
pitcher_season,pitcher_recent,2,0.78147512864494,321,108
pitcher_season,pitcher_recent,3,0.7817083692838654,311,118
pitcher_season,pitcher_recent,4,0.7417582417582418,328,101
pitcher_season,pitcher_recent,5,0.7358834244080146,314,115
pitcher_season,pitcher_recent,6,0.7147610405323654,314,115
pitcher_season,pitcher_recent,7,0.6867796610169492,320,109
pitcher_season,pitchmix,0,0.5105084745762712,320,109
pitcher_season,pitchmix,1,0.49956140350877193,312,117
pitcher_season,pitchmix,2,0.5157804459691252,321,108
pitcher_season,pitchmix,3,0.44247914869140065,311,118
pitcher_season,pitchmix,4,0.41699372056514916,328,101
pitcher_season,pitchmix,5,0.41818457802064357,314,115
pitcher_season,pitchmix,6,0.4599213551119177,314,115
pitcher_season,pitchmix,7,0.4511864406779661,320,109
batter_season,batter_direct,0,0.6632908950617283,405,144
batter_season,batter_direct,1,0.539067422810334,411,138
batter_season,batter_direct,2,0.5353213028169015,414,135
batter_season,batter_direct,3,0.5763421106348233,409,140
batter_season,batter_direct,4,0.601894374282434,404,145
batter_season,batter_direct,5,0.5089010989010989,414,135
batter_season,batter_direct,6,0.5282668231611893,406,143
batter_season,batter_direct,7,0.5990683229813665,410,139
