variant,feature,gain,gain_share
all_no_ids_no_season,asof_batter_success_rate,658069.7996444702,0.14624740069724065
all_no_ids_no_season,asof_batter_n,606396.1600847244,0.13476361056698127
all_no_ids_no_season,asof_batter_middle_rate,472749.3167629242,0.10506234869815773
all_no_ids_no_season,batter_team_id,363312.7118091583,0.08074149546303615
all_no_ids_no_season,asof_pitcher_n,324636.6974620819,0.07214625743411432
all_no_ids_no_season,game_month,272633.9849290848,0.06058933514218499
all_no_ids_no_season,asof_pitcher_middle_rate,205009.0830745697,0.045560585723852756
all_no_ids_no_season,game_type,190689.37927627563,0.042378218959132144
all_no_ids_no_season,asof_pitcher_reverse_rate,171273.03556251526,0.03806319067381077
all_no_ids_no_season,asof_pitcher_offspeed_rate,156081.56107139587,0.03468708428162417
all_no_ids_no_season,asof_pitcher_prev5_game_middle_rate,134379.91063022614,0.02986417648434205
all_no_ids_no_season,pitcher_team_id,130803.09847354889,0.029069276792882345
all_no_ids_no_season,asof_pitcher_fastball_rate,118556.10542869568,0.026347542867188406
all_no_ids_no_season,asof_pitcher_success_rate,108728.01286506653,0.024163377916875874
all_no_ids_no_season,asof_pitcher_breaking_rate,105942.48576927185,0.02354433097451232
all_no_ids_no_season,asof_pitcher_strike_rate,96416.38783073425,0.021427280377370284
all_no_ids_no_season,asof_pitcher_ball_rate,85404.86749839783,0.01898011409318727
all_no_ids_no_season,asof_pitcher_prev5_game_success_rate,52470.45428276062,0.011660871774396769
all_no_ids_no_season,asof_pitcher_pitchmix_n,42921.57169342041,0.009538757586800534
all_no_ids_no_season,asof_pitcher_prev3_game_success_rate,41355.36760902405,0.009190689226228267
all_no_ids_no_season,batter_hand,37402.025354385376,0.008312110648211414
all_no_ids_no_season,run_total_before,27491.14285850525,0.00610954671894232
all_no_ids_no_season,inning,22929.968189239502,0.00509588534158296
all_no_ids_no_season,pitcher_hand,18223.548149108887,0.004049945081400274
all_no_ids_no_season,asof_pitcher_prev1_game_success_rate,15486.51591682434,0.0034416754877911473
all_no_ids_no_season,asof_pitcher_prev3_game_middle_rate,15203.11264038086,0.003378692818549476
all_no_ids_no_season,run_bot_before,7245.769052505493,0.001610277345281516
all_no_ids_no_season,game_dayofweek,4565.065488815308,0.001014526061084419
all_no_ids_no_season,asof_pitcher_prev1_game_middle_rate,4041.903589248657,0.0008982601756163584
all_no_ids_no_season,run_top_before,3976.883325576782,0.0008838102729467657
all_no_ids_no_season,score_diff_pitcher_team,2066.7331047058105,0.00045930438482583353
all_no_ids_no_season,li,1844.4080085754395,0.0004098955418179987
all_no_ids_no_season,home_win_expectancy,528.273494720459,0.00011740187059466104
all_no_ids_no_season,score_diff_home,357.88150215148926,7.953448019580313e-05
all_no_ids_no_season,away_win_expectancy,269.16699981689453,5.9818843074036915e-05
all_no_ids_no_season,top_bottom,240.14549827575684,5.336919416594936e-05
all_no_ids_no_season,balls_before,0.0,0.0
all_no_ids_no_season,strikes_before,0.0,0.0
all_no_ids_no_season,outs_before,0.0,0.0
all_no_ids_no_season,runner_on_1b,0.0,0.0
all_no_ids_no_season,runner_on_2b,0.0,0.0
all_no_ids_no_season,runner_on_3b,0.0,0.0
all_no_ids_no_season,num_runners_on,0.0,0.0
all_no_ids_no_season,base_state,0.0,0.0
sensitive_only,asof_batter_success_rate,741224.22108078,0.23425295942040197
sensitive_only,asof_pitcher_reverse_rate,411683.22374916077,0.13010639798893245
sensitive_only,asof_batter_middle_rate,350019.8327560425,0.11061859468027466
sensitive_only,asof_pitcher_middle_rate,338486.80889701843,0.10697375295329599
sensitive_only,asof_pitcher_success_rate,323889.28922367096,0.10236042261892944
sensitive_only,asof_pitcher_ball_rate,321363.0143928528,0.10156203079821216
sensitive_only,asof_pitcher_strike_rate,234493.4991388321,0.07410820447559341
sensitive_only,asof_pitcher_prev5_game_middle_rate,225291.13523483276,0.0711999333791199
sensitive_only,asof_pitcher_prev5_game_success_rate,105666.54765224457,0.03339435058285504
sensitive_only,asof_pitcher_prev3_game_middle_rate,40094.4925327301,0.012671271748994356
sensitive_only,asof_pitcher_prev3_game_success_rate,33675.92297267914,0.010642777709100071
sensitive_only,asof_pitcher_prev1_game_success_rate,19826.480582237244,0.006265866143052079
sensitive_only,asof_pitcher_prev1_game_middle_rate,18489.83005809784,0.005843437501238493
stable_only,asof_batter_n,814990.1230659485,0.3195136506489198
stable_only,asof_pitcher_n,402766.6636171341,0.1579030756444916
stable_only,game_month,376130.7086429596,0.14746055496669183
stable_only,batter_team_id,199046.6178908348,0.07803543838343535
stable_only,pitcher_team_id,179418.94686079025,0.07034048767537861
stable_only,game_type,119664.56572246552,0.0469140191582526
stable_only,batter_hand,79468.46158981323,0.031155295696706303
stable_only,run_total_before,68119.53412246704,0.026705993621240345
stable_only,asof_pitcher_pitchmix_n,64323.63303184509,0.02521782562921096
stable_only,inning,54821.943856716156,0.021492726011738534
stable_only,pitcher_hand,49865.48727607727,0.01954956683527494
stable_only,game_dayofweek,45014.08322715759,0.01764759308789758
stable_only,run_bot_before,28772.17225265503,0.011280016203093865
stable_only,run_top_before,17613.145245552063,0.006905163851121444
stable_only,score_diff_pitcher_team,17568.16805267334,0.0068875307207485765
stable_only,score_diff_home,12281.138572692871,0.004814771748060604
stable_only,home_win_expectancy,7367.018517494202,0.0028882104387568048
stable_only,li,5483.772003173828,0.0021498910998687375
stable_only,away_win_expectancy,4040.5743060112,0.0015840911572954064
stable_only,top_bottom,3207.0958824157715,0.001257329241631635
stable_only,num_runners_on,328.47159576416016,0.0001287759884773358
stable_only,base_state,156.04900074005127,6.117839283622232e-05
stable_only,balls_before,141.5189709663391,5.548195219768884e-05
stable_only,strikes_before,72.30780982971191,2.8347990528039312e-05
stable_only,runner_on_2b,23.029300689697266,9.028546146762862e-06
stable_only,runner_on_3b,21.096599578857422,8.270838329133652e-06
stable_only,runner_on_1b,14.499500274658203,5.684471669316385e-06
stable_only,outs_before,0.0,0.0
uncertain_only,asof_pitcher_offspeed_rate,626008.9126391411,0.3529200320158294
uncertain_only,asof_pitcher_breaking_rate,602624.4425692558,0.33973675657180324
uncertain_only,asof_pitcher_fastball_rate,545164.8309230804,0.30734321141236737
