comparison,variant,feature,gain,gain_share
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_batter_n,645922.5949840546,0.1442450031912543
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_batter_middle_rate,456788.6378688812,0.10200831963271395
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_n,388837.9875869751,0.08683383612203367
2023_vs_2024,all_no_ids_no_season_2023v2024,game_month,368443.878572464,0.08227950044354024
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_offspeed_rate,252119.06265068054,0.056302280302675
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_reverse_rate,246961.32707595825,0.05515047420359616
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_middle_rate,240729.3166885376,0.053758765096031016
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_success_rate,208864.40326309204,0.046642812543146714
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_batter_success_rate,196279.8182926178,0.04383247038555199
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_breaking_rate,190552.2098789215,0.04255340242860543
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_strike_rate,179507.95781326294,0.04008704161876991
2023_vs_2024,all_no_ids_no_season_2023v2024,batter_team_id,178636.77955055237,0.03989249336753875
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_ball_rate,158150.40849113464,0.03531755407637511
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_fastball_rate,131617.70922851562,0.0293923715242714
2023_vs_2024,all_no_ids_no_season_2023v2024,asof_pitcher_prev5_game_middle_rate,122080.47416496277,0.027262552080175497
2023_vs_2024,all_no_ids_no_season_2023v2024,pitcher_team_id,118799.6242351532,0.02652988502026704
2023_vs_2024,all_no_ids_no_season_2023v2024,game_type,98421.1121635437,0.02197903239236835
2023_vs_2024,all_no_ids_no_season_2023v2024,batter_hand,61637.80374145508,0.01376472237762108
