feature,change_month,left_mean,right_mean,relative_sse_gain
asof_pitcher_prev1_game_success_rate,5,0.5054731228263565,0.48561486492850453,0.6980272573753077
asof_pitcher_prev1_game_middle_rate,7,0.1674819618397717,0.18191709566547254,0.6952755481332109
asof_pitcher_prev3_game_middle_rate,7,0.16706330858437765,0.17895719028657103,0.6062986034543401
asof_pitcher_prev3_game_success_rate,5,0.5025266451991677,0.48865179131572734,0.5492761030307328
asof_pitcher_prev5_game_middle_rate,6,0.16328838272420296,0.1748688811780863,0.3887538766365662
asof_pitcher_success_rate,6,0.5171624377996199,0.5104755445161325,0.3406409676467355
asof_pitcher_prev5_game_success_rate,5,0.5041208378294725,0.49108593000529055,0.3399785531188143
asof_pitcher_ball_rate,9,0.3719692311687495,0.3780151496563273,0.284314474271812
asof_pitcher_reverse_rate,5,0.2332404211567728,0.2370536925419291,0.2707500048799866
asof_pitcher_strike_rate,9,0.4447056808683285,0.43915863301494074,0.2466186032526269
asof_pitcher_middle_rate,6,0.15210176707517953,0.15645430629380297,0.2387156306545579
control_success,5,0.49738158577918246,0.48670281322004255,0.23077442872878745
