feature,pre_mean,abs_mean,mean_delta,standardized_delta,psi
asof_batter_success_rate,0.5443528383730752,0.5174659410269159,-0.026886897346159344,-0.5852691293532988,0.7936249792459263
asof_batter_middle_rate,0.13812412038703584,0.1519826733879464,0.013858553000910573,0.5499082920214897,0.6596082857907968
asof_pitcher_prev5_game_middle_rate,0.14397398916587933,0.17243253517763316,0.02845854601175382,0.592817599855601,0.4148505614386889
asof_pitcher_middle_rate,0.1389920837556292,0.1557042658006677,0.01671218204503852,0.5390269241783653,0.40818353526899104
asof_pitcher_reverse_rate,0.21063573839925334,0.23724595822764827,0.026610219828394927,0.46892654491209873,0.3288226141877164
asof_pitcher_prev3_game_middle_rate,0.14427591218924474,0.17387191711016578,0.029596004920921043,0.5222585329132372,0.31745042795237643
asof_pitcher_success_rate,0.5401750413365347,0.5113970221638664,-0.028778019172668312,-0.4932827216796082,0.30306171505576696
asof_pitcher_prev5_game_success_rate,0.5314216467043691,0.4908543385373936,-0.04056730816697551,-0.5337978916083769,0.29959240750600186
asof_pitcher_prev3_game_success_rate,0.5310263471287701,0.48948483246421126,-0.0415415146645588,-0.4770017089799829,0.24568691408791798
asof_pitcher_prev1_game_middle_rate,0.1453399271274826,0.17581188674385378,0.030471959616371197,0.3243956898650471,0.14033626065469762
asof_pitcher_prev1_game_success_rate,0.5306520809810391,0.48842234252988564,-0.042229738451153465,-0.3191579056978428,0.11966436355106741
asof_pitcher_strike_rate,0.44138710343139437,0.4442294401797764,0.002842336748382024,0.0729859149751443,0.05325574845175844
asof_pitcher_ball_rate,0.372163601646935,0.37262482721228296,0.0004612255653479447,0.01120682334550637,0.04416102185909703
asof_pitcher_offspeed_rate,0.15679919263639666,0.15414093923981756,-0.002658253396579102,-0.024999238098058565,0.03842041434947165
asof_pitcher_fastball_rate,0.5550369497687723,0.5512354341819703,-0.0038015155868019734,-0.03910936903700272,0.02695028926687876
asof_pitcher_breaking_rate,0.2881638555503679,0.2946236261764776,0.0064597706261096954,0.05973168452152059,0.024280422276811257
control_success,0.5315815109059132,0.4861049201797189,-0.04547659072619431,-0.09106154321916991,0.0
