feature,mean_2023,mean_2024,delta,standardized_delta
asof_pitcher_prev5_game_middle_rate,0.15336807943765116,0.17243253517763316,0.019064455739982,0.3965340264596452
asof_pitcher_prev3_game_middle_rate,0.15327235557921445,0.17387191711016578,0.020599561530951327,0.3597953739366067
asof_pitcher_middle_rate,0.14750550835730175,0.1557042658006677,0.008198757443365956,0.29566849697739295
asof_batter_middle_rate,0.145789588893642,0.1519826733879464,0.006193084494304418,0.290568422399191
asof_pitcher_prev5_game_success_rate,0.5087928799397042,0.4908543385373936,-0.01793854140231066,-0.24508166588922595
asof_pitcher_success_rate,0.5237304567228329,0.5113970221638664,-0.012333434558966516,-0.23024345225947937
asof_pitcher_prev1_game_middle_rate,0.15448693744599537,0.17581188674385378,0.021324949297858414,0.22390052080408926
asof_pitcher_prev3_game_success_rate,0.5073527791172268,0.48948483246421126,-0.0178679466530155,-0.2121272597522801
asof_batter_success_rate,0.5256362465920296,0.5174659410269159,-0.008170305565113667,-0.2056976704427825
asof_pitcher_prev1_game_success_rate,0.5044326308628806,0.48842234252988564,-0.01601028833299495,-0.12252420300113395
asof_pitcher_reverse_rate,0.2330226572051886,0.23724595822764827,0.004223301022459658,0.07933299854860683
asof_pitcher_fastball_rate,0.5453184628659425,0.5512354341819703,0.005916971316027753,0.06436253462129159
asof_pitcher_offspeed_rate,0.15906171554634527,0.15414093923981756,-0.004920776306527708,-0.04750049507205311
asof_pitcher_ball_rate,0.3712373503601371,0.37262482721228296,0.0013874768521458525,0.03590972981863225
control_success,0.49995723449750534,0.4861049201797189,-0.01385231431778644,-0.02770992371633361
asof_pitcher_breaking_rate,0.29561982108921137,0.2946236261764776,-0.0009961949127337832,-0.009377934137385134
asof_pitcher_strike_rate,0.444209772922489,0.4442294401797764,1.9667257287414586e-05,0.0005467176050449231
