feature,change_season,change_month,sse_gain,relative_sse_gain,left_mean,right_mean
asof_pitcher_reverse_rate,2021,4,0.01607636072760496,0.8707003845339724,0.18769457093668532,0.22895797781266142
asof_batter_success_rate,2023,4,0.007530262183743375,0.7229099745286276,0.5491218229962254,0.5213557391158884
asof_batter_middle_rate,2020,7,0.002778716539304727,0.7182604835256048,0.12575155796854345,0.14477983128549354
asof_pitcher_prev3_game_success_rate,2022,8,0.015458309301357475,0.6770944679304479,0.539951328284307,0.5015179140040115
asof_pitcher_prev5_game_success_rate,2022,8,0.014451187532614141,0.6757388717626953,0.5402374609012804,0.5030771157317794
asof_pitcher_prev1_game_success_rate,2022,7,0.017572603890094872,0.668159876318394,0.5416609084037033,0.5009538363190359
asof_pitcher_middle_rate,2020,6,0.0030174544004310695,0.6519671909443515,0.12508619180254701,0.1456779709873386
asof_pitcher_success_rate,2021,8,0.007211763124700919,0.6495623278232877,0.5505965672649111,0.5243453952545825
control_success,2022,7,0.023784478761077598,0.6377195370393611,0.5462342100754908,0.4988756351390139
asof_pitcher_prev3_game_middle_rate,2024,3,0.005542827412088924,0.5677652660775019,0.14383457593854596,0.17301024943547433
asof_pitcher_prev1_game_middle_rate,2023,10,0.006009329234181501,0.5412289035103401,0.1439907439133548,0.1730501352648322
asof_pitcher_prev5_game_middle_rate,2024,3,0.004771757037140674,0.5326821315725339,0.14345581293456913,0.17052619425788004
asof_pitcher_fastball_rate,2019,8,0.0016768797843701487,0.359532086300057,0.5722636478304004,0.55278277587219
asof_pitcher_ball_rate,2020,10,0.00018946577947875258,0.25703247310069605,0.3692922064275803,0.373862744329377
asof_pitcher_offspeed_rate,2019,8,0.00038479608252000035,0.21883723635433952,0.14815176975567412,0.15748372717102355
asof_pitcher_strike_rate,2022,7,9.761082961463473e-05,0.17434527027127047,0.4406646726965844,0.44369856952831593
asof_pitcher_breaking_rate,2022,7,0.0005124598615582534,0.124674420119805,0.28548177170619665,0.2924333230361197
